label,area_um2,ecd_um,circularity,solidity,centroid_x_px,centroid_y_px,type
1428,1.217,1.245,0.8282,0.8421,630.6,335.2,intra
1429,2.32,1.719,0.5193,0.7262,32.9,336.7,intra
1430,3.955,2.244,0.5148,0.782,288.8,339.1,intra
1431,0.57,0.852,1.0,0.9375,45.2,334.3,intra
1432,0.722,0.959,1.0,0.7917,91.8,336.2,intra
1433,0.608,0.88,1.0,0.8421,264.7,335.4,intra
1435,1.179,1.225,0.6163,0.7045,480.5,335.5,intra
1436,0.799,1.008,1.0,0.9545,533.6,335.0,intra
1437,3.574,2.133,0.5931,0.7833,648.5,337.6,intra
1438,0.837,1.032,0.7798,0.7857,376.8,336.7,intra
1439,1.445,1.356,0.7452,0.8085,465.8,337.8,intra
1440,2.624,1.828,0.4734,0.7041,669.4,336.6,intra
1441,1.407,1.338,0.9514,0.8043,57.2,338.5,intra
1442,0.761,0.984,1.0,0.8333,199.2,336.8,intra
1443,0.57,0.852,1.0,0.8824,489.1,337.6,intra
1444,0.646,0.907,1.0,0.7727,585.2,339.4,intra
1445,2.472,1.774,0.5378,0.7386,6.9,343.4,intra
1446,0.761,0.984,1.0,0.9524,106.0,338.6,intra
1448,2.852,1.906,0.7893,0.8152,303.4,342.5,intra
1449,1.559,1.409,0.4332,0.5694,323.2,342.3,intra
1450,3.156,2.005,0.472,0.7094,390.0,340.3,intra
1451,0.913,1.078,0.8085,0.8,551.4,339.3,intra
1452,1.065,1.164,0.72,0.7568,135.3,340.0,intra
1453,0.989,1.122,1.0,0.963,257.3,340.4,intra
1454,0.646,0.907,1.0,0.9444,370.2,339.5,intra
1455,1.179,1.225,0.9067,0.8378,439.8,341.9,intra
1456,0.57,0.852,1.0,0.9375,637.6,339.9,intra
1457,0.875,1.055,1.0,0.8519,364.8,341.4,intra
1458,0.57,0.852,1.0,0.9375,498.1,340.9,intra
1461,0.608,0.88,1.0,0.9412,510.8,342.8,intra
1462,3.498,2.11,0.675,0.844,518.9,346.3,intra
1463,1.407,1.338,0.8404,0.7708,542.9,343.6,intra
1464,0.799,1.008,1.0,0.9545,579.0,341.8,intra
1465,5.856,2.731,0.2178,0.4477,659.0,352.4,inter
1466,0.761,0.984,1.0,0.9091,61.8,343.2,intra
1467,1.711,1.476,0.7937,0.7759,280.0,345.2,intra
1468,1.179,1.225,0.7705,0.8857,533.0,344.7,intra
1469,1.027,1.143,0.9329,0.7714,100.4,344.7,intra
1470,0.761,0.984,1.0,0.8696,262.0,343.8,intra
1471,2.129,1.647,0.4489,0.6747,351.1,344.8,intra
1473,0.722,0.959,1.0,0.95,479.3,344.5,intra
1475,1.559,1.409,0.5671,0.7593,229.8,344.8,intra
1476,1.103,1.185,0.8684,0.8788,247.1,347.1,intra
1477,2.586,1.814,0.418,0.5965,423.4,351.7,intra
1479,1.825,1.524,0.6639,0.8,553.8,346.2,intra
1480,2.053,1.617,1.0,0.9818,611.6,346.7,intra
1481,13.765,4.186,0.2629,0.6642,628.2,362.6,inter
1482,0.646,0.907,1.0,0.9444,653.4,344.5,intra
1483,2.091,1.632,0.47,0.7333,29.1,351.9,intra
1485,2.167,1.661,0.6845,0.8028,589.0,347.4,intra
1486,1.711,1.476,0.5989,0.7377,669.9,348.0,intra
1487,1.369,1.32,0.6236,0.6923,295.6,348.6,intra
1488,1.217,1.245,0.9057,0.8889,431.8,349.7,intra
1490,0.684,0.934,0.9959,0.8182,142.8,348.4,intra
1491,0.646,0.907,1.0,0.85,194.9,349.0,intra
1492,1.407,1.338,0.6803,0.7255,493.2,351.4,intra
1493,0.913,1.078,1.0,0.9231,42.4,349.4,intra
1494,0.722,0.959,1.0,0.8261,453.2,348.7,intra
1496,1.331,1.302,0.7214,0.7292,445.2,350.3,intra
1498,0.57,0.852,1.0,0.8333,509.8,351.1,intra
1499,6.768,2.936,0.3131,0.6642,539.9,359.9,inter
1500,1.141,1.205,0.8631,0.8108,72.3,352.4,intra
1501,1.483,1.374,0.7306,0.7959,135.8,351.8,intra
1502,15.324,4.417,0.1081,0.4933,573.8,364.6,inter
1503,2.129,1.647,0.6407,0.7887,50.8,355.5,intra
1504,3.536,2.122,0.5289,0.7623,347.9,356.4,intra
1506,0.57,0.852,1.0,1.0,106.4,352.6,intra
1507,0.951,1.1,1.0,0.9615,599.6,352.6,intra
1508,0.875,1.055,1.0,0.9583,89.4,354.6,intra
1509,1.179,1.225,1.0,0.9394,98.3,354.6,intra
1510,0.646,0.907,1.0,1.0,255.6,354.1,intra
1511,0.875,1.055,1.0,0.9583,308.5,354.9,intra
1513,0.57,0.852,1.0,0.8824,411.3,354.1,intra
1514,0.532,0.823,1.0,0.9333,183.1,355.3,intra
1515,3.194,2.017,0.4187,0.6942,192.9,358.1,intra
1516,0.532,0.823,1.0,0.9333,387.9,354.9,intra
1517,1.711,1.476,0.6754,0.6818,461.2,356.9,intra
1518,0.761,0.984,0.8288,0.8,484.0,354.6,intra
1519,2.434,1.76,0.4735,0.7619,11.3,359.3,intra
1520,5.628,2.677,0.7593,0.8706,77.0,361.1,intra
1522,1.179,1.225,1.0,0.9118,357.7,356.9,intra
1523,1.825,1.524,0.5979,0.7273,604.4,359.6,intra
1524,0.646,0.907,1.0,0.8947,119.3,357.2,intra
1525,1.141,1.205,0.8113,0.8571,303.3,359.4,intra
1528,1.407,1.338,0.9545,0.74,37.9,360.3,intra
1529,2.624,1.828,0.4827,0.6832,63.9,363.0,intra
1530,0.837,1.032,1.0,1.0,250.2,359.0,intra
1532,2.738,1.867,0.3773,0.6102,525.6,360.1,intra
1533,0.799,1.008,1.0,1.0,137.8,358.7,intra
1534,0.684,0.934,1.0,0.8182,155.3,358.8,intra
1535,2.434,1.76,0.5629,0.7529,175.5,362.4,intra
1536,0.532,0.823,1.0,1.0,512.5,358.3,intra
1538,0.608,0.88,1.0,1.0,213.2,359.4,intra
1539,0.989,1.122,0.7918,0.7429,268.6,360.6,intra
1541,1.483,1.374,1.0,0.9286,643.9,360.5,intra
1542,0.646,0.907,1.0,0.9444,670.9,360.5,intra
1544,1.217,1.245,0.7785,0.8889,163.2,363.1,intra
1545,1.141,1.205,1.0,0.9375,417.1,362.4,intra
1546,0.646,0.907,1.0,0.8095,479.5,361.4,intra
1547,1.673,1.46,0.6914,0.7719,654.3,362.9,intra
1548,3.384,2.076,0.4141,0.6899,673.3,368.5,intra
1549,0.646,0.907,1.0,0.9444,148.1,361.8,intra
1550,1.217,1.245,1.0,0.9412,370.8,363.0,intra
1551,2.966,1.943,0.5158,0.75,488.6,368.1,intra
1552,3.726,2.178,0.3261,0.5868,127.7,369.0,intra
1553,0.532,0.823,1.0,1.0,221.5,362.5,intra
1554,5.856,2.731,0.7478,0.8851,240.7,367.0,intra
1555,1.521,1.392,0.6106,0.7407,255.2,366.2,intra
1556,0.532,0.823,1.0,0.8235,310.4,363.4,intra
1557,0.799,1.008,1.0,0.913,398.6,364.2,intra
1558,1.445,1.356,0.5126,0.7037,463.1,364.7,intra
1559,0.799,1.008,1.0,0.875,22.1,365.0,intra
1560,0.837,1.032,1.0,0.8148,299.2,364.5,intra
1561,1.787,1.508,0.6158,0.746,325.2,365.4,intra
1562,2.282,1.704,0.7039,0.8219,431.7,365.9,intra
1564,2.015,1.602,0.6284,0.7571,552.4,366.4,intra
1565,3.384,2.076,0.4258,0.7607,30.2,370.6,intra
1566,0.646,0.907,1.0,0.8947,333.8,364.4,intra
1569,0.799,1.008,1.0,0.913,290.5,365.5,intra
1570,0.646,0.907,0.945,0.85,381.8,365.5,intra
1571,1.217,1.245,0.7421,0.7111,140.2,369.4,intra
1572,1.597,1.426,0.7408,0.7368,515.8,369.1,intra
1573,0.608,0.88,1.0,1.0,197.8,367.4,intra
1574,0.57,0.852,1.0,1.0,357.3,367.7,intra
1575,0.722,0.959,1.0,0.95,390.2,367.6,intra
1576,1.711,1.476,0.6691,0.7377,451.3,369.7,intra
1577,0.608,0.88,1.0,0.6957,98.5,369.7,intra
1578,0.837,1.032,0.8903,0.7857,281.3,368.5,intra
1579,3.46,2.099,0.4715,0.6642,607.5,374.0,intra
1580,6.388,2.852,0.3084,0.6885,651.3,373.4,inter
1582,2.852,1.906,0.5404,0.7426,349.9,374.9,intra
1583,3.726,2.178,0.3133,0.5414,409.2,371.9,intra
1585,1.749,1.492,0.5318,0.6866,12.7,374.0,intra
1587,0.913,1.078,1.0,0.8889,595.7,372.0,intra
1588,0.722,0.959,1.0,0.9048,91.1,372.9,intra
1589,0.57,0.852,1.0,1.0,152.0,371.0,intra
1591,2.586,1.814,0.4568,0.6733,326.4,377.7,intra
1592,1.331,1.302,0.8117,0.875,106.2,372.9,intra
1593,0.608,0.88,1.0,0.8421,164.1,373.7,intra
1594,3.232,2.029,0.475,0.6855,179.7,378.1,intra
1595,2.015,1.602,0.7054,0.8689,334.4,374.3,intra
1596,1.027,1.143,0.8085,0.8182,588.6,375.0,intra
1597,0.684,0.934,0.9645,0.9,426.9,374.9,intra
1598,1.597,1.426,0.7868,0.875,433.4,377.1,intra
1599,1.027,1.143,0.8936,0.8182,561.3,374.8,intra
1602,2.738,1.867,0.5136,0.7423,273.2,381.8,intra
1603,2.966,1.943,0.5482,0.8041,381.9,378.5,intra
1604,0.799,1.008,1.0,0.9545,477.4,375.5,intra
1607,2.7,1.854,0.7057,0.9221,223.5,382.4,intra
1608,0.761,0.984,1.0,1.0,404.0,377.2,intra
1609,1.027,1.143,0.8422,0.75,410.0,377.9,intra
1610,2.662,1.841,0.5449,0.7609,44.5,380.9,intra
1611,0.761,0.984,1.0,1.0,66.2,378.4,intra
1612,2.776,1.88,0.709,0.8488,240.3,383.5,intra
1613,0.913,1.078,0.9865,0.8276,516.2,378.9,intra
1614,0.837,1.032,1.0,0.9167,536.5,378.5,intra
1615,0.837,1.032,1.0,1.0,547.8,378.4,intra
1616,1.331,1.302,0.8263,0.8537,18.4,380.7,intra
1617,1.597,1.426,0.7996,0.84,104.3,381.3,intra
1618,1.445,1.356,0.7452,0.7917,120.0,379.7,intra
1619,0.532,0.823,1.0,0.9333,571.8,378.0,intra
1620,0.837,1.032,1.0,1.0,615.2,380.0,intra
1621,0.57,0.852,1.0,0.9375,262.9,380.2,intra
1624,0.989,1.122,0.748,0.7647,492.8,381.9,intra
1625,0.608,0.88,1.0,0.8421,528.5,381.2,intra
1626,2.396,1.746,0.5393,0.7326,135.3,382.3,intra
1627,4.829,2.48,0.4141,0.7384,412.0,388.7,intra
1628,2.396,1.746,0.5551,0.7241,155.5,384.0,intra
1629,0.761,0.984,1.0,0.9524,282.8,382.4,intra
1630,1.407,1.338,0.8308,0.8222,468.2,382.5,intra
1631,1.141,1.205,0.7714,0.8108,6.1,384.4,intra
1632,3.955,2.244,0.4633,0.7591,297.2,389.9,intra
1633,0.684,0.934,0.9736,0.8571,625.8,383.2,intra
1634,3.726,2.178,0.2893,0.6364,648.6,390.7,intra
1635,0.532,0.823,1.0,1.0,85.5,383.7,intra
1636,0.57,0.852,1.0,0.8333,192.5,383.9,intra
1637,1.331,1.302,0.8699,0.7778,396.0,386.9,intra
1638,1.027,1.143,1.0,0.931,424.5,384.3,intra
1639,0.913,1.078,1.0,0.8276,487.7,385.9,intra
1640,0.761,0.984,0.9942,0.8696,674.0,384.6,intra
1641,0.722,0.959,1.0,1.0,147.9,384.6,intra
1642,0.57,0.852,1.0,0.9375,508.1,384.5,intra
1644,0.608,0.88,1.0,0.8421,594.2,384.9,intra
1645,1.141,1.205,0.8167,0.75,34.5,388.1,intra
1646,0.875,1.055,0.9271,0.92,56.1,385.8,intra
1648,0.532,0.823,1.0,0.9333,350.2,385.5,intra
1649,1.255,1.264,0.7791,0.9167,555.9,385.7,intra
1650,0.761,0.984,0.9058,0.8696,666.8,386.2,intra
1651,6.654,2.911,0.2201,0.6119,24.5,394.0,inter
1652,2.928,1.931,0.4303,0.6696,115.5,389.4,intra
1653,1.103,1.185,1.0,0.8788,456.3,388.1,intra
1654,0.57,0.852,1.0,0.7895,162.3,389.8,intra
1655,3.27,2.041,0.4364,0.6232,183.3,391.7,intra
1656,0.646,0.907,1.0,0.85,519.8,387.4,intra
1657,0.837,1.032,1.0,1.0,527.0,388.5,intra
1658,1.635,1.443,0.7335,0.8113,198.2,391.2,intra
1659,1.673,1.46,0.67,0.7458,283.5,391.4,intra
1661,0.532,0.823,1.0,1.0,74.5,389.7,intra
1662,0.608,0.88,1.0,0.9412,87.2,389.5,intra
1663,1.407,1.338,0.8735,0.8605,587.7,392.7,intra
1666,2.129,1.647,0.6827,0.7467,212.3,392.0,intra
1668,1.065,1.164,0.6937,0.8235,467.1,391.8,intra
1670,3.08,1.98,0.349,0.5704,597.8,395.7,intra
1671,4.107,2.287,0.438,0.6207,639.9,397.5,intra
1672,5.666,2.686,0.3441,0.7563,669.2,398.1,inter
1673,0.875,1.055,1.0,0.7931,82.6,393.2,intra
1674,0.799,1.008,1.0,0.9545,338.4,392.6,intra
1675,1.293,1.283,0.7885,0.8095,383.4,393.4,intra
1676,1.445,1.356,0.5416,0.7308,170.6,395.6,intra
1677,0.532,0.823,1.0,0.9333,332.1,393.4,intra
1679,1.179,1.225,1.0,0.775,542.5,395.8,intra
1680,0.761,0.984,1.0,0.9091,429.4,394.4,intra
1681,0.57,0.852,1.0,0.9375,580.4,393.1,intra
1683,2.662,1.841,0.4629,0.7143,503.1,397.4,intra
1685,1.103,1.185,1.0,0.8788,75.2,396.6,intra
1686,2.205,1.676,0.6805,0.8056,145.9,400.1,intra
1687,0.989,1.122,1.0,0.8667,344.4,397.0,intra
1688,1.369,1.32,1.0,0.9231,484.9,396.9,intra
1689,0.57,0.852,1.0,0.8333,554.5,396.8,intra
1690,2.243,1.69,0.6075,0.7973,4.8,400.8,intra
1691,0.57,0.852,1.0,0.9375,44.2,396.2,intra
1692,0.989,1.122,0.8983,0.8387,104.3,396.8,intra
1693,2.015,1.602,0.448,0.5408,123.2,401.5,intra
1694,2.814,1.893,0.6123,0.7708,165.7,401.1,intra
1695,0.989,1.122,1.0,1.0,242.8,397.6,intra
1696,1.483,1.374,1.0,0.907,276.4,397.8,intra
1697,1.939,1.571,0.9554,0.9273,364.8,400.4,intra
1698,0.57,0.852,1.0,0.9375,509.9,396.8,intra
1699,0.761,0.984,1.0,0.8696,155.4,398.1,intra
1700,0.608,0.88,0.7819,0.5926,321.1,399.9,intra
1701,2.472,1.774,0.5275,0.6373,446.0,404.2,intra
1702,1.749,1.492,0.5755,0.7302,522.7,398.9,intra
1703,1.559,1.409,1.0,0.9111,580.3,400.0,intra
1704,0.989,1.122,0.8983,0.8387,95.7,399.6,intra
1705,0.646,0.907,1.0,0.9444,470.9,398.8,intra
1706,1.977,1.587,0.887,0.8525,110.9,401.7,intra
1707,0.532,0.823,0.8841,0.7778,198.6,400.9,intra
1709,1.331,1.302,0.8834,0.8537,287.7,401.4,intra
1710,0.875,1.055,0.8426,0.7931,380.6,402.0,intra
1712,0.646,0.907,1.0,0.8947,188.1,400.5,intra
1713,1.027,1.143,0.8936,0.7941,455.6,401.7,intra
1715,1.559,1.409,0.831,0.8039,48.0,404.6,intra
1716,2.015,1.602,0.745,0.803,420.4,405.6,intra
1717,1.521,1.392,0.4624,0.5882,491.3,405.7,intra
1718,0.684,0.934,0.6823,0.9474,676.6,404.3,intra
1719,0.532,0.823,1.0,1.0,244.5,402.7,intra
1720,1.103,1.185,1.0,0.9667,428.7,403.6,intra
1721,0.532,0.823,1.0,0.875,487.5,403.0,intra
1722,2.015,1.602,0.75,0.7794,570.0,405.4,intra
1723,0.646,0.907,1.0,0.8095,13.2,404.2,intra
1724,0.646,0.907,1.0,0.85,41.2,403.9,intra
1725,0.57,0.852,1.0,1.0,67.6,403.6,intra
1726,0.875,1.055,0.6864,0.7419,131.9,404.1,intra
1727,0.684,0.934,1.0,0.9,310.9,404.3,intra
1728,1.141,1.205,0.6506,0.6383,339.4,404.1,intra
1729,2.814,1.893,0.4284,0.7115,383.4,409.2,intra
1730,0.532,0.823,1.0,0.8235,499.1,404.4,intra
1732,0.532,0.823,1.0,0.875,512.0,404.4,intra
1733,1.331,1.302,0.8092,0.875,639.5,405.3,intra
1735,0.532,0.823,1.0,0.9333,82.1,406.0,intra
1736,0.532,0.823,1.0,1.0,89.4,405.8,intra
1738,0.722,0.959,0.7965,0.7308,192.1,406.5,intra
1739,0.722,0.959,1.0,0.9048,295.1,407.2,intra
1740,1.331,1.302,0.7568,0.814,406.7,407.9,intra
1742,1.787,1.508,0.684,0.8545,546.7,407.7,intra
1743,0.646,0.907,1.0,0.9444,620.3,405.2,intra
1744,1.217,1.245,0.8546,0.8421,159.2,408.3,intra
1745,0.951,1.1,1.0,1.0,225.7,407.7,intra
1746,1.825,1.524,0.4932,0.7164,528.9,408.5,intra
1747,0.646,0.907,0.8489,0.7083,592.6,407.4,intra
1748,1.255,1.264,0.934,0.8919,604.0,407.3,intra
1749,0.799,1.008,1.0,0.875,614.0,407.8,intra
1750,2.358,1.733,0.8252,0.8611,72.3,412.1,intra
1751,2.852,1.906,0.858,0.8929,357.4,412.5,intra
1752,1.141,1.205,0.7596,0.8333,661.8,408.0,intra
1754,0.646,0.907,1.0,0.8947,102.5,409.6,intra
1756,0.989,1.122,1.0,0.9286,632.2,411.1,intra
1757,0.532,0.823,1.0,1.0,43.9,410.1,intra
1758,2.472,1.774,0.5495,0.7647,99.3,415.6,intra
1759,2.434,1.76,0.6018,0.7356,435.0,412.5,intra
1760,2.624,1.828,0.5004,0.7263,511.0,415.3,intra
1761,0.951,1.1,0.8274,0.8333,578.3,412.0,intra
1762,1.673,1.46,0.8797,0.88,36.1,413.2,intra
1763,0.799,1.008,0.8876,0.8077,125.1,412.2,intra
1764,1.179,1.225,0.6609,0.7209,650.3,414.6,intra
1766,4.031,2.265,0.671,0.8689,5.3,418.5,intra
1767,0.532,0.823,1.0,0.9333,15.1,413.1,intra
1768,0.761,0.984,0.902,0.8333,316.1,412.4,intra
1769,1.825,1.524,0.5051,0.6076,346.5,416.9,intra
1770,21.37,5.216,0.3425,0.7827,601.2,427.9,inter
1772,1.749,1.492,0.8458,0.902,658.2,414.7,intra
1773,2.243,1.69,0.6148,0.7973,154.7,416.2,intra
1774,2.548,1.801,0.616,0.7701,191.1,416.3,intra
1776,1.483,1.374,0.7504,0.8298,22.8,415.8,intra
1777,1.331,1.302,0.8862,0.8974,117.2,417.3,intra
1778,2.091,1.632,0.5776,0.7333,131.2,417.3,intra
1779,1.331,1.302,1.0,0.8974,140.5,415.5,intra
1780,2.053,1.617,0.4161,0.7606,307.0,417.6,intra
1781,0.989,1.122,0.9182,0.8966,415.2,415.8,intra
1782,0.913,1.078,1.0,0.8889,640.3,415.9,intra
1783,1.787,1.508,0.5931,0.7833,396.6,416.1,intra
1784,1.065,1.164,0.6493,0.6364,566.0,416.2,intra
1785,0.532,0.823,1.0,0.9333,86.1,416.6,intra
1786,5.514,2.65,0.7706,0.8896,209.1,420.9,intra
1787,7.339,3.057,0.4507,0.707,332.2,425.1,inter
1788,1.103,1.185,0.7033,0.6744,407.6,418.1,intra
1789,9.81,3.534,0.2838,0.6202,535.5,427.2,inter
1790,2.966,1.943,0.4787,0.729,62.0,424.7,intra
1791,0.875,1.055,1.0,0.8846,465.0,418.0,intra
1792,3.384,2.076,0.7161,0.8396,580.7,424.8,intra
1793,1.027,1.143,1.0,0.8182,628.1,419.5,intra
1794,1.141,1.205,1.0,0.9677,77.8,420.0,intra
1795,0.57,0.852,1.0,0.9375,255.2,419.8,intra
1797,1.065,1.164,0.8189,0.8235,471.1,420.7,intra
1798,0.951,1.1,1.0,0.8929,108.6,420.4,intra
1799,0.799,1.008,0.7581,0.75,298.4,422.1,intra
1800,1.065,1.164,0.7089,0.7368,362.3,420.9,intra
1801,1.141,1.205,0.9929,0.8824,40.4,422.1,intra
1803,0.722,0.959,0.9285,0.7917,317.3,420.8,intra
1804,3.574,2.133,0.3648,0.6573,391.3,425.1,intra
1806,1.179,1.225,0.5998,0.7209,548.4,423.6,intra
1808,0.608,0.88,0.9961,0.8889,12.7,424.3,intra
1809,0.646,0.907,1.0,1.0,18.0,423.0,intra
1810,1.065,1.164,0.7898,0.7368,173.8,423.1,intra
1812,0.722,0.959,1.0,0.7917,500.1,422.4,intra
1813,1.141,1.205,1.0,0.9375,640.7,423.9,intra
1814,3.955,2.244,0.3047,0.5622,648.4,430.1,intra
1815,1.255,1.264,0.7157,0.8049,51.4,424.2,intra
1816,1.521,1.392,0.7866,0.8,83.2,426.3,intra
1817,1.445,1.356,0.5403,0.7037,129.1,425.8,intra
1819,8.746,3.337,0.4075,0.7278,253.7,429.7,inter
1820,3.726,2.178,0.3625,0.6712,426.2,431.4,intra
1821,0.761,0.984,1.0,0.8696,463.7,425.5,intra
1822,1.141,1.205,0.7298,0.75,562.4,425.4,intra
1824,2.129,1.647,0.4634,0.7089,371.4,432.9,intra
1825,0.722,0.959,1.0,0.9048,489.9,425.9,intra
1826,1.293,1.283,0.6473,0.7556,24.5,429.4,intra
1827,1.179,1.225,0.684,0.7045,166.8,429.6,intra
1829,0.989,1.122,0.811,0.8387,317.7,428.5,intra
1830,1.483,1.374,0.786,0.8478,412.1,429.9,intra
1831,2.167,1.661,0.7604,0.8261,619.2,429.3,intra
1832,1.749,1.492,0.9021,0.902,294.3,428.8,intra
1833,0.684,0.934,0.9736,0.8182,520.3,428.3,intra
1834,1.597,1.426,0.924,0.913,190.5,431.4,intra
1835,2.32,1.719,0.5111,0.7093,484.7,432.0,intra
1836,1.521,1.392,0.9731,0.8889,552.9,430.0,intra
1837,2.282,1.704,0.5664,0.7317,635.1,431.0,intra
1838,1.749,1.492,0.8618,0.8679,658.0,431.3,intra
1839,1.217,1.245,1.0,0.9412,38.2,430.4,intra
1840,1.217,1.245,0.6028,0.7111,49.2,431.2,intra
1841,2.434,1.76,0.7142,0.8533,96.5,431.6,intra
1842,2.243,1.69,0.71,0.7763,115.2,432.0,intra
1843,0.913,1.078,1.0,0.9231,437.3,430.6,intra
1844,0.989,1.122,1.0,0.963,665.2,430.2,intra
1845,1.141,1.205,0.7061,0.7317,673.1,433.1,intra
1846,0.951,1.1,0.7934,0.8065,503.5,432.3,intra
1847,0.57,0.852,1.0,0.6522,144.2,432.3,intra
1849,0.532,0.823,1.0,0.875,232.1,432.4,intra
1851,1.293,1.283,0.8909,0.8718,379.4,432.2,intra
1855,0.532,0.823,1.0,0.9333,345.6,431.9,intra
1856,0.951,1.1,0.8101,0.7812,465.9,433.8,intra
1857,2.586,1.814,0.3371,0.5667,72.5,437.7,intra
1858,0.57,0.852,1.0,0.9375,340.2,434.7,intra
1860,0.722,0.959,1.0,1.0,568.3,434.4,intra
1861,0.722,0.959,1.0,1.0,44.5,435.8,intra
1862,1.445,1.356,0.8944,0.9048,362.0,436.8,intra
1863,0.761,0.984,1.0,1.0,391.6,436.6,intra
1864,1.179,1.225,0.7211,0.7045,452.0,437.8,intra
1865,0.875,1.055,0.9681,0.8846,458.9,437.4,intra
1866,1.521,1.392,0.8268,0.8333,312.8,437.6,intra
1867,0.989,1.122,0.6583,0.7429,385.4,438.1,intra
1868,2.586,1.814,0.7543,0.9714,10.7,438.0,intra
1870,0.684,0.934,1.0,1.0,554.9,438.6,intra
1871,1.027,1.143,0.9329,0.9,655.0,438.6,intra
1872,0.684,0.934,1.0,0.9474,55.9,438.8,intra
1873,0.722,0.959,1.0,0.95,167.4,438.6,intra
1875,0.646,0.907,1.0,0.9444,274.5,439.0,intra
1876,0.608,0.88,1.0,1.0,301.2,438.8,intra
1877,0.722,0.959,0.905,0.8636,414.2,439.0,intra
1879,0.684,0.934,1.0,0.9474,148.6,439.3,intra
